algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,87040,,collision,160,646.0712830975692,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,88064,,time_limit,500,7012.235856006526,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,88064,,time_limit,500,7732.315433549848,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,88064,,collision,207,1394.827641913263,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,89088,,collision,472,6087.3025925801885,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,89088,,collision,369,4370.292993000814,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,89088,,collision,261,3007.5135328934116,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,90112,,collision,127,-21.830862731341767,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,90112,,collision,93,125.26120031450859,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,90112,,time_limit,500,6866.535531329561,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,91136,,collision,365,3145.7918039976444,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,91136,,collision,438,5743.406492060585,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,91136,,off_lane,125,1523.8368966957391,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,91136,,collision,91,136.23000221348246,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,92160,,time_limit,500,6552.005198932619,,,"reward raw, penalty 300, chi Town04"
